"VGC id","Name","Platform","Notes","Cart","Box","Manual","Other","Purchased Price","Purchased Date","Added",
"57484","Jak 3","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2020-11-18 13:30:51",
"71223","Jak and Daxter: The Lost Frontier","PlayStation Portable [EU]","","No","No","No","No","","0000-00-00","2021-01-20 09:06:24",
"31535","Jak and Daxter: The Precursor Legacy","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2020-12-11 09:00:25",
"45539","Jak II: Renegade","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2021-01-25 09:16:13",
"31817","Jak X","PlayStation 2 [EU]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-04-12 17:49:50",
"19440","Jet Set Radio","Sega Dreamcast [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-12 18:16:10",
"92632","Journey - Collector's Edition","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2021-05-27 12:27:27",
"34195","JSRF: Jet Set Radio Future [FR]","Xbox [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-12 18:05:36",
"195247","Judgment","PlayStation 5 [EU]","","No","No","No","No","","0000-00-00","2021-11-29 12:24:57",
"48793","Just Cause [NL]","PlayStation 2 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-18 16:49:55",
"62731","Killer Is Dead - Limited Edition","Xbox 360 [EU]","","No","No","No","No","","0000-00-00","2015-04-23 05:06:48",
"38671","Killzone","PlayStation 2 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-18 17:02:06",
"29704","Killzone 2 - Limited Edition Collector's Box","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2019-10-17 10:06:14",
"52380","Killzone 3 - Helghast Edition","PlayStation 3 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-12 18:09:26",
"151690","Killzone: Liberation","PlayStation Portable [EU]","None","No","No","No","No","1.00","0000-00-00","2020-01-19 12:51:54",
"51819","Killzone: Shadow Fall","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2020-06-15 13:29:57",
"45175","Kingdom Hearts - Platinum","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-15 17:31:39",
"39855","Kingdom Hearts 358/2 Days","Nintendo DS [EU]","","No","No","No","No","","0000-00-00","2015-04-12 17:36:05",
"30301","Kingdom Hearts II","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-15 17:31:39",
"91943","Kingdom Hearts III","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2020-06-03 14:57:46",
"65190","Kingdom Hearts Re:coded","Nintendo DS [EU]","","No","No","No","No","","0000-00-00","2015-04-12 17:36:05",
"162549","Kingdom Hearts: The Story So Far","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2020-06-03 14:57:49",
