Index,Jogo,Consola
100,Dark Chronicle,PlayStation 2 [EU]
101,Dark Souls Trilogy,PlayStation 4 [EU]
102,Darksiders [BE][NL],Xbox 360 [EU]
103,Darksiders II,Xbox 360 [EU]
104,Daxter [DK][FI][NO][SE],PlayStation Portable [EU]
105,Days Gone,PlayStation 4 [EU]
106,Daytona USA,Sega Saturn [EU]
107,Daytona USA 2001,Sega Dreamcast [EU]
108,Death Stranding,PlayStation 4 [EU]
109,Deathsmiles - Deluxe Edition,Xbox 360 [EU]
110,Demon's Souls - Black Phantom Edition,PlayStation 3 [EU]
111,Detroit: Become Human,PlayStation 4 [EU]
112,Devil Dice,PlayStation [EU]
113,Devil May Cry,PlayStation 2 [EU]
114,Devil May Cry 2,PlayStation 2 [EU]
115,Devil May Cry 3: Dante's Awakening: Special Edition,PlayStation 2 [EU]
116,Devil May Cry 4 - Collector's Edition,Xbox 360 [NA]
117,Devil May Cry 5,PlayStation 4 [EU]
118,Dexter's Laboratory: Mandark's Lab,PlayStation [EU]
119,Digimon Rumble Arena,PlayStation [EU]
120,Digimon World - Platinum,PlayStation [EU]
121,Disney DuckTales Remastered,PlayStation 3 [EU]
122,Disney's Action Game Featuring Hercules - Platinum,PlayStation [EU]
123,Disney's Donald Duck PK (ELSPA rating),PlayStation 2 [EU]
124,Disney's Kim Possible: What's the Switch?,PlayStation 2 [EU]
125,Disney's Toy Story,Sega Mega Drive [EU]
126,Dissidia 012: Duodecim Final Fantasy - Legacy Edition,PlayStation Portable [EU]
127,Dissidia: Final Fantasy NT,PlayStation 4 [EU]
128,DJ Hero,Xbox 360 [EU]
129,DJ Hero 2,Xbox 360 [EU]
130,DmC: Devil May Cry,Xbox 360 [EU]
131,DoDonPachi Resurrection: Deluxe Edition,Xbox 360 [EU]
132,Dog's Life,PlayStation 2 [EU]
133,Dr. Robotnik's Mean Bean Machine,Sega Mega Drive [EU]
134,Dragon Ball FighterZ,PlayStation 4 [EU]
135,Dragon Ball Z,Sega Mega Drive [EU]
136,Dragon Ball Z: Battle of Z,PlayStation 3 [EU]
137,Dragon Ball Z: Budokai,PlayStation 2 [EU]
138,Dragon Ball Z: Budokai 2,PlayStation 2 [EU]
